state,state_ID,suspected_cases,confirmed_cases,not_confirmed_cases,date
Pernambuco,PE,,0,,2020/03/5
Piauí,PI,,0,,2020/03/5
Rio de Janeiro,RJ,,1,,2020/03/5
Rio Grande do Norte,RN,,0,,2020/03/5
Rio Grande do Sul,RS,,0,,2020/03/5
Rondônia,RO,,0,,2020/03/5
Roraima,RR,,0,,2020/03/5
São Paulo,SP,,6,,2020/03/5
Santa Catarina,SC,,0,,2020/03/5
Sergipe,SE,,0,,2020/03/5
Tocantins,TO,,0,,2020/03/5
Acre,AC,,0,,2020/03/5
Alagoas,AL,,0,,2020/03/5
Amapá,AP,,0,,2020/03/5
Amazonas,AM,,0,,2020/03/5
Bahia,BA,,0,,2020/03/5
Ceará,CE,,0,,2020/03/5
Distrito Federal,DF,,0,,2020/03/5
Espirito Santo,ES,,0,,2020/03/5
Goiás,GO,,0,,2020/03/5
Maranhão,MA,,0,,2020/03/5
Mato Grosso,MT,,0,,2020/03/5
Mato Grosso do Sul,MS,,0,,2020/03/5
Minas Gerais,MG,,0,,2020/03/5
Pará,PA,,0,,2020/03/5
Parába,PB,,0,,2020/03/5
Paraná,PR,,0,,2020/03/5
Pernambuco,PE,,0,,2020/03/5
Piauí,PI,,0,,2020/03/5
Rio de Janeiro,RJ,,0,,2020/03/5
Rio Grande do Norte,RN,,0,,2020/03/5
Rio Grande do Sul,RS,,0,,2020/03/5
Rondônia,RO,,0,,2020/03/5
Roraima,RR,,0,,2020/03/5
São Paulo,SP,,6,,2020/03/5
Santa Catarina,SC,,0,,2020/03/5
Sergipe,SE,,0,,2020/03/5
Tocantins,TO,,0,,2020/03/5
Acre,AC,,0,,2020/02/25
Alagoas,AL,,0,,2020/02/25
Amapá,AP,,0,,2020/02/25
Amazonas,AM,,0,,2020/02/25
Bahia,BA,,0,,2020/02/25
Ceará,CE,,0,,2020/02/25
Distrito Federal,DF,,0,,2020/02/25
Espirito Santo,ES,,0,,2020/02/25
Goiás,GO,,0,,2020/02/25
Maranhão,MA,,0,,2020/02/25
Mato Grosso,MT,,0,,2020/02/25
Mato Grosso do Sul,MS,,0,,2020/02/25
Minas Gerais,MG,,0,,2020/02/25
Pará,PA,,0,,2020/02/25
Parába,PB,,0,,2020/02/25
Paraná,PR,,0,,2020/02/25
Pernambuco,PE,,0,,2020/02/25
Piauí,PI,,0,,2020/02/25
Rio de Janeiro,RJ,,0,,2020/02/25
Rio Grande do Norte,RN,,0,,2020/02/25
Rio Grande do Sul,RS,,0,,2020/02/25
Rondônia,RO,,0,,2020/02/25
Roraima,RR,,0,,2020/02/25
São Paulo,SP,,0,,2020/02/25
Santa Catarina,SC,,0,,2020/02/25
Sergipe,SE,,0,,2020/02/25
Tocantins,TO,,0,,2020/02/25
